Post Type,Total Reach,Organic Reach,Total Impressions,Engaged Users,Interactions,Reactions,Comments,Shares,Link Clicks,Other Clicks,Photo Views,Video Plays,Negative Feedback,Video Length,Organic Views,Paid Views,Organic 10-Sec Views,Paid 10-Sec Views,Organic Views to 95%,Paid Views to 95%,Reach (Fans),Paid Reach (Fans),Engaged Users (Fans),Reach (Non-Fans),Engaged Users (Non-Fans),Channel,Organic / Paid
Video,707680,711266,1340155,57074,3444,3050,259,135,126,21745,1649,45184,24,10510,127780,1,100997,0,100477,0,555939,0,47085,151741,9989,Facebook,Organic
Link,4260059,4238915,7148786,233499,14500,12476,1742,282,256800,85953,274,2,396,0,6,0,4,0,1,0,4079487,0,228867,180572,4632,Facebook,Organic
Link,324902,321262,559161,5402,667,578,76,13,2891,2707,182,1,27,0,30,0,24,0,1,0,302105,0,5318,22797,84,Facebook,Organic
Link,2920818,2910828,4638238,61057,27614,24431,2049,1134,10446,36213,15,926,358,0,636,0,469,0,59,0,2746611,0,58190,174207,2867,Facebook,Organic
Video,693836,693737,1224572,34096,1443,1194,138,111,287,12830,307,27634,15,34034,87184,0,69320,0,11245,0,572224,0,26808,121612,7288,Facebook,Organic
Link,344084,344187,625709,8802,2775,2658,97,20,2862,4962,1,20,30,0,7,0,5,0,1,0,319067,0,8695,25017,107,Facebook,Organic
Link,2691664,2707267,4538331,115406,4902,4308,547,47,93666,38136,1,4,278,0,27,0,17,0,6,0,2662157,0,114510,29507,896,Facebook,Organic
Link,228226,224571,375467,3154,477,406,56,15,1275,1912,2,5,16,0,775,0,551,0,239,0,207914,0,3094,20312,60,Facebook,Organic
Video,408503,424358,808417,22573,1398,1239,98,61,623,11781,328,15522,11,13320,83351,0,60365,0,21184,0,299789,0,14560,108714,8013,Facebook,Organic
Video,838689,836960,1544536,77894,5310,4610,535,165,98,44446,1110,58184,62,10577,182555,0,148633,0,149672,0,661070,0,63543,177619,14351,Facebook,Organic
Video,846046,880339,1624002,68767,5116,3653,905,558,41,55723,1110,40223,47,39706,222983,0,160328,0,19203,0,581061,0,45102,264985,23665,Facebook,Organic
Photo,2860499,2856651,4660538,434539,15908,14826,913,169,11,89154,470026,5,261,0,0,0,0,0,0,0,2766417,0,423203,94082,11336,Facebook,Organic
Video,4307875,4376734,7662385,455548,25776,21345,3048,1383,850,397430,4048,294848,376,12979,1000662,0,802892,0,582124,0,3565354,0,385172,742521,70376,Facebook,Organic
Photo,885260,885146,1442043,60822,8307,7919,310,78,9,24006,56170,4,81,0,0,0,0,0,0,0,848984,0,55072,36276,5750,Facebook,Organic
Link,5602615,5680503,10125303,275687,19902,16346,3100,456,228368,93097,190,5,666,0,1,0,1,0,0,0,5237780,0,265198,364835,10489,Facebook,Organic
Link,3733213,3777751,6317288,73772,43750,41673,573,1504,8227,37720,119,353,327,0,3,0,3,0,1,0,3527606,0,71064,205607,2708,Facebook,Organic
Link,448056,443589,890115,5281,755,679,63,13,2466,2565,61,1,15,0,260,0,183,0,39,0,425622,0,5221,22434,60,Facebook,Organic
Video,598604,622623,1073789,27925,1657,1316,212,129,186,10093,349,24454,6,26826,67626,0,55951,0,12215,0,516585,0,23165,82019,4760,Facebook,Organic
Link,2407255,2410691,3778400,70301,5324,4862,406,56,54568,29083,2,1,308,0,131,0,99,0,22,0,2352225,0,69969,55030,332,Facebook,Organic
Video,968106,1011759,1626852,69376,2581,1964,480,137,65,37497,533,52566,30,41908,165062,0,126544,0,23093,0,659190,0,48699,308916,20677,Facebook,Organic
Link,423768,433458,840305,10549,4630,4061,285,284,1331,8374,1,118,35,0,196,0,168,0,33,0,386177,0,10196,37591,353,Facebook,Organic
Video,799993,819143,1419081,40930,1621,1310,248,63,24,27881,371,26868,27,32966,112799,0,86165,0,16053,0,507391,0,27336,292602,13594,Facebook,Organic
Link,3262495,3262563,5245027,55034,16866,13751,1922,1193,10382,38445,41,790,361,0,3,0,2,0,0,0,3081393,0,52758,181102,2276,Facebook,Organic
Link,1227334,1227094,2159476,17418,1644,1446,156,42,9925,8100,NA,2,108,0,13,0,11,0,2,0,1204199,0,17313,23135,105,Facebook,Organic
Link,2136851,2127138,3380451,31191,17878,17310,233,335,3144,13665,3,292,219,0,779,0,584,0,89,0,2022104,0,30513,114747,678,Facebook,Organic
Video,765179,803534,1413802,36739,1750,1438,231,81,84,23051,291,24171,16,40740,126376,0,93157,0,14786,0,556943,0,25664,208236,11075,Facebook,Organic
Link,2876065,2884315,4644396,93981,5092,4415,621,56,78919,31772,NA,NA,328,0,451,0,224,0,35,0,2755796,0,92107,120269,1874,Facebook,Organic
Video,1104826,1102887,1895526,35583,3186,2886,196,104,179,35360,343,12190,73,153040,197087,0,84745,0,15315,0,1056316,0,33658,48510,1925,Facebook,Organic
Link,1463298,1460006,2264559,19730,9962,9558,234,170,2319,10883,1,184,209,0,591,0,471,0,104,0,1409850,0,19065,53448,665,Facebook,Organic
Video,632574,671773,1358192,45197,3739,2961,371,407,102,36260,416,27571,28,52919,119569,0,92151,0,21759,0,379723,0,27949,252851,17248,Facebook,Organic
Link,142292,143511,257124,1591,373,300,57,16,619,885,4,3,5,0,18,0,14,0,3,0,123304,0,1545,18988,46,Facebook,Organic
Link,2049457,2074396,3197019,31615,21765,21205,232,328,3583,11448,12,280,221,0,358,0,269,0,84,0,1920297,0,29449,129160,2166,Facebook,Organic
Video,2295343,2331647,4235991,192507,7691,5544,1405,742,236,168060,2212,114011,207,56523,628358,0,471584,0,106660,0,1692807,0,162674,602536,29833,Facebook,Organic
Photo,2380276,2385402,3738216,353904,10262,9666,500,96,18,61594,379700,1,266,0,0,0,0,0,0,0,2313392,0,344389,66884,9515,Facebook,Organic
Video,733266,766646,1473950,38913,2629,2039,449,141,70,35512,968,17322,31,41241,145798,0,108980,0,17808,0,422728,0,22772,310538,16141,Facebook,Organic
Link,2678014,2667778,4106656,38102,11534,10156,844,534,8103,25884,615,702,336,0,0,0,0,0,0,0,2493755,0,35092,184259,3010,Facebook,Organic
Link,793808,823350,1555934,10906,1223,1077,119,27,5174,5832,458,NA,45,0,9,0,7,0,4,0,776270,0,10781,17538,125,Facebook,Organic
Photo,409351,414846,710258,72505,5990,4810,1104,76,57,25460,84998,NA,26,0,0,0,0,0,0,0,304922,0,55391,104429,17114,Facebook,Organic
Link,2950665,2969671,4746988,69439,17100,13768,2122,1210,22552,50370,346,949,336,0,674,0,484,0,93,0,2645288,0,62996,305377,6443,Facebook,Organic
Video,495830,516077,1036407,34049,1829,1494,267,68,118,27381,699,19961,30,39160,114560,0,79494,0,13854,0,299727,0,20654,196103,13395,Facebook,Organic
Link,3149582,3119993,4858865,108364,9973,8916,930,127,83591,44134,47,2,375,0,326,0,285,0,210,0,2930054,0,104952,219528,3412,Facebook,Organic
Video,430246,425681,1003377,28983,4868,3680,803,385,271,17070,672,20598,26,15515,63608,0,55960,0,45264,0,319157,0,22962,111089,6021,Facebook,Organic
Link,411118,406793,659983,5648,785,665,106,14,2260,3467,64,NA,27,0,230,0,125,0,54,0,353307,0,5167,57811,481,Facebook,Organic
Video,433909,445031,926567,22690,1701,1545,129,27,2812,16932,360,7932,52,14360,79194,0,44051,0,19740,0,353018,0,19734,80891,2956,Facebook,Organic
Video,707241,725656,1318477,47598,4061,3152,584,325,2477,35381,659,31763,24,16641,144796,0,69425,0,45040,0,373668,0,25646,333573,21952,Facebook,Organic
Photo,198276,200559,361998,34077,6354,5616,498,240,49,9336,40252,2,22,0,0,0,0,0,0,0,173752,0,26500,24524,7577,Facebook,Organic
Photo,169263,171124,287992,22907,1838,1633,168,37,48,2756,27271,2,12,0,0,0,0,0,0,0,147003,0,17423,22260,5484,Facebook,Organic
Photo,3538776,3563846,5778635,608383,15679,14679,829,171,70,95858,642590,NA,412,0,0,0,0,0,0,0,3427323,0,596315,111453,12068,Facebook,Organic
Link,384297,389699,641989,12544,2312,1943,306,63,8160,3817,556,3,24,0,470,0,392,0,375,0,244943,0,7870,139354,4674,Facebook,Organic
Video,569683,576384,1216574,57348,5850,4596,753,501,253,48255,1267,35351,27,10977,123914,0,101279,0,96618,0,335484,0,30771,234199,26577,Facebook,Organic
Link,268718,272087,482525,7093,2352,1991,302,59,2858,3677,125,NA,9,0,4,0,3,0,1,0,209612,0,6441,59106,652,Facebook,Organic
Link,226608,225981,555180,2525,738,638,76,24,684,1422,249,NA,5,0,21,0,19,0,14,0,211898,0,2437,14710,88,Facebook,Organic
Photo,188952,188850,321265,31635,4092,3258,746,88,78,7411,36226,NA,19,0,0,0,0,0,0,0,169179,0,26435,19773,5200,Facebook,Organic
Video,4319677,4290272,7308213,417680,29039,24822,3001,1216,977,360836,4707,273157,412,15515,983507,1,851484,0,497768,0,3519588,0,363430,800089,54250,Facebook,Organic
Photo,261917,257304,439975,47534,3221,3037,124,60,100,5828,52910,NA,13,0,0,0,0,0,0,0,209300,0,37676,52617,9858,Facebook,Organic
Link,2274836,2274819,3691466,72254,6705,6103,505,97,51584,27413,882,NA,262,0,0,0,0,0,0,0,2211101,0,71812,63735,442,Facebook,Organic
Link,2625512,2637173,4338346,105950,6989,6362,574,53,79182,42074,524,NA,318,0,0,0,0,0,0,0,2575020,0,105255,50492,695,Facebook,Organic
Photo,164620,164956,289948,21070,1772,1605,122,45,257,2617,23844,NA,12,0,0,0,0,0,0,0,145937,0,16653,18683,4417,Facebook,Organic
Link,1514399,1513467,2343195,26097,9193,8881,232,80,4236,17127,266,285,225,0,1,0,0,0,0,0,1480192,0,25829,34207,268,Facebook,Organic
Link,420328,419629,743732,18916,2694,2179,431,84,14992,5335,1224,NA,32,0,0,0,0,0,0,0,378491,0,18417,41837,499,Facebook,Organic
Photo,1993072,2043718,3494714,486031,42704,38616,1554,2534,712,82260,532545,NA,106,0,0,0,0,0,0,0,1117420,0,303530,875652,182501,Facebook,Organic
Photo,406802,407402,739984,51506,7999,5374,2515,110,99,21004,57095,NA,32,0,0,0,0,0,0,0,377769,0,44070,29033,7436,Facebook,Organic
Link,4107409,4084967,6682222,121435,62781,57300,2421,3060,15539,73945,512,900,509,0,273,0,169,0,81,0,3539590,0,110320,567819,11115,Facebook,Organic
Video,2657116,2665125,4658674,137192,5721,4713,876,132,51,144094,1546,51369,302,20033,443233,0,241585,0,123784,0,2538137,0,133533,118979,3659,Facebook,Organic
Photo,398170,396145,728118,51451,8294,5581,2623,90,41,21537,56675,NA,21,0,0,0,0,0,0,0,366817,0,44980,31353,6471,Facebook,Organic
Link,513874,514674,1057801,7493,999,865,105,29,3018,3985,967,NA,13,0,1,0,1,0,1,0,492111,0,7437,21763,56,Facebook,Organic
Photo,986712,985174,157e4,130141,29610,29052,344,214,50,36395,126717,1,92,0,0,0,0,0,0,0,923172,0,122152,63540,7989,Facebook,Organic
Photo,571511,557539,919218,113637,7242,6873,257,112,49,17004,119215,3,40,0,0,0,0,0,0,0,492115,0,100446,79396,13191,Facebook,Organic
Video,403587,402934,888981,12828,887,746,121,20,47,7429,1428,6822,8,20033,41193,0,26509,0,10450,0,347999,0,11833,55588,995,Facebook,Organic
Link,225880,227070,411479,3975,686,544,105,37,2055,2143,84,NA,8,0,15,0,11,0,3,0,201178,0,3815,24702,160,Facebook,Organic
Link,2579949,2580326,4276276,86013,5844,5381,402,61,67325,28629,45,NA,302,0,254,0,148,0,32,0,2538506,0,85675,41443,338,Facebook,Organic
Video,1687800,1686065,2857045,82783,5859,5109,397,353,204,80872,1015,38825,134,138840,346134,103,197883,68,35314,8,1554642,0,77821,133158,4962,Facebook,Organic
Photo,7445435,7514999,11836665,1531360,107635,100979,2695,3961,107,268342,1556835,2,725,0,0,0,0,0,0,0,4833148,0,1162616,2612287,368744,Facebook,Organic
Video,954704,980469,2267255,74671,4646,3806,574,266,264,56361,1575,49894,47,12879,155730,89,115800,63,90867,48,623224,0,46371,331480,28300,Facebook,Organic
Link,2382673,2376978,3795047,42933,5229,4600,523,106,28566,15664,58,3,286,0,535,6,379,6,267,5,2325104,0,42411,57569,522,Facebook,Organic
Video,655462,642864,1819129,39387,3298,2892,263,143,472,19839,531,30051,35,13146,91202,421,68383,300,48687,182,541923,0,32932,113539,6455,Facebook,Organic
Link,2624354,2654028,4254576,51445,6989,6314,524,151,37210,15916,19,3,240,0,5,0,0,0,0,0,2504566,0,49507,119788,1938,Facebook,Organic
