Post Type,Total Reach,Organic Reach,Total Impressions,Engaged Users,Interactions,Reactions,Comments,Shares,Link Clicks,Other Clicks,Photo Views,Video Plays,Negative Feedback,Video Length,Organic Views,Paid Views,Organic 10-Sec Views,Paid 10-Sec Views,Organic Views to 95%,Paid Views to 95%,Reach (Fans),Paid Reach (Fans),Engaged Users (Fans),Reach (Non-Fans),Engaged Users (Non-Fans),Channel,Organic / Paid
Link,103686,103669,184228,4645,1538,1382,115,41,1788,2333,16,2,7,0,1171,0,862,0,316,0,96969,0,4487,6717,158,Facebook,Organic
Video,181495,182750,258169,26757,2791,2446,158,187,246,7566,141,22113,4,20329,54385,3,38088,2,10360,2,113781,0,20383,67714,6374,Facebook,Organic
Link,148989,149528,274821,8667,2401,2179,154,68,5527,3333,NA,1,8,0,1,0,0,0,0,0,140134,0,8506,8855,161,Facebook,Organic
Link,3566954,3568253,5736597,161361,16610,14259,1911,440,89015,110843,4,NA,338,0,2,0,1,0,0,0,3399145,0,157899,167809,3462,Facebook,Organic
Link,515040,510827,833100,27282,5464,4819,452,193,22063,8242,NA,NA,40,0,12,0,9,0,3,0,358547,0,22132,156493,5150,Facebook,Organic
Link,2931586,2935058,4551812,90052,16897,14705,1674,518,46330,52680,5,NA,263,0,366,0,237,0,29,0,2761958,0,88236,169628,1816,Facebook,Organic
Video,4776834,4785746,7704628,322426,76993,55378,12128,9487,1401,319343,2801,125319,93,101353,762148,8,464276,4,62605,0,1882366,0,224397,2894468,98029,Facebook,Organic
Video,19024887,19879551,38505966,1694330,507836,284339,144219,79278,14376,1856522,17686,556269,731,114174,4232160,56,2273228,28,462055,3,4084977,0,655573,14939910,1038757,Facebook,Organic
Video,1620224,1630154,2429871,162241,19199,16600,1604,995,246,134196,764,80649,101,18729,407417,2,233599,0,71806,0,1391698,0,149408,228526,12833,Facebook,Organic
Video,214342,216875,308920,29890,3298,2883,210,205,144,11354,129,23031,11,24105,90598,2,50098,2,10928,0,150024,0,22824,64318,7066,Facebook,Organic
Link,2701522,2747177,4165948,70074,22068,18884,1966,1218,14680,57044,17,303,248,0,1,0,1,0,1,0,2487402,0,65106,214120,4968,Facebook,Organic
Link,107550,106735,188027,4003,2017,1726,225,66,1209,1722,NA,NA,13,0,7,0,2,0,1,0,95747,0,3789,11803,214,Facebook,Organic
Link,125373,125825,230881,6522,2227,2025,141,61,3648,2325,2,NA,15,0,285,0,128,0,73,0,117585,0,6410,7788,112,Facebook,Organic
SharedVideo,138336,136860,295946,6785,1416,1312,104,NA,326,6613,NA,127,6,13459,17903,101,0,0,0,0,132233,294,6634,6103,151,Facebook,Paid
SharedVideo,74861,73499,135570,5632,1092,999,93,NA,349,5522,NA,197,5,51561,11403,161,0,0,0,0,68617,343,5469,6244,163,Facebook,Paid
